city_ar,district_ar,property_type_ar,growth_pct,growth_source,growth_confidence,yoy_growth_last_year_pct,yoy_volatility_3y,last_year
الدمام,الدمام/ هجر,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,الدمام/ هجر,قطعة أرض-سكنى,-31.02,district,high,-31.02,0.0,2026.0
الدمام,الدمام/أخرى,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,الدمام/أخرى,قطعة أرض-سكنى,-4.35,district,high,-4.35,0.0,2026.0
الدمام,الدواسر,قطعة أرض-سكنى,7.4,city,medium,,,
الدمام,الراكة  الشمالية,قطعة أرض-سكنى,11.42,district,high,12.5,1.52,2022.0
الدمام,الراكة الجنوبية,قطعة أرض-سكنى,7.4,city,medium,,,
الدمام,الراكة الشمالية,قطعة أرض-سكنى,-22.17,district,high,-43.09,29.58,2020.0
الدمام,الربوة,قطعة أرض-سكنى,7.4,city,medium,,,
الدمام,الربيع,قطعة أرض-سكنى,-3.76,district,high,-3.76,0.0,2017.0
الدمام,الروضة,قطعة أرض-سكنى,14.53,district,high,41.2,23.57,2025.0
الدمام,الزهور,قطعة أرض-سكنى,-5.4,district,high,23.77,41.26,2025.0
الدمام,السوق,قطعة أرض-سكنى,7.4,city,medium,,,
الدمام,السيف,قطعة أرض-تجارى,12.89,district,high,14.74,2.62,2023.0
الدمام,السيف,قطعة أرض-سكنى,58.2,district,high,4.98,87.36,2026.0
الدمام,الشاطئ الشرقي,قطعة أرض-تجارى,8.82,district,high,8.82,0.0,2025.0
الدمام,الشاطئ الشرقي,قطعة أرض-سكنى,44.93,district,high,-1.19,65.22,2026.0
الدمام,الشاطى,قطعة أرض-سكنى,7.4,city,medium,,,
الدمام,الشعلة,قطعة أرض-تجارى,13.02,district,high,63.69,43.93,2025.0
الدمام,الشعلة,قطعة أرض-سكنى,-7.03,district,high,-10.0,15.24,2026.0
الدمام,الشعله,قطعة أرض-تجارى,30.27,district,high,-34.0,99.95,2019.0
الدمام,الشعله,قطعة أرض-سكنى,11.59,district,high,-8.65,54.7,2022.0
الدمام,الصدفة,قطعة أرض-تجارى,-6.72,district,high,-6.72,0.0,2020.0
الدمام,الصدفة,قطعة أرض-سكنى,27.85,district,high,-34.62,64.68,2023.0
الدمام,الصفا,قطعة أرض-سكنى,5.76,district,high,41.97,59.58,2025.0
الدمام,الصناعية,قطعة أرض-سكنى,7.4,city,medium,,,
الدمام,الصناعية الثانية,قطعة أرض-سكنى,7.4,city,medium,,,
الدمام,الضباب,قطعة أرض-سكنى,6.22,district,high,2.98,3.78,2025.0
الدمام,العدامة,قطعة أرض-سكنى,-15.19,district,high,-44.27,25.22,2025.0
الدمام,العدامه,قطعة أرض-سكنى,7.4,city,medium,,,
الدمام,العروبة,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,العروبة,قطعة أرض-سكنى,63.53,district,high,122.89,83.95,2025.0
الدمام,العزيزية,قطعة أرض-سكنى,-4.36,district,high,21.74,24.78,2021.0
الدمام,العمامرة,قطعة أرض-سكنى,7.4,city,medium,,,
الدمام,العنود,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,العنود,قطعة أرض-سكنى,10.23,district,high,10.23,0.0,2025.0
الدمام,الفرسان,قطعة أرض-تجارى,-6.21,district,high,22.05,39.97,2023.0
الدمام,الفرسان,قطعة أرض-سكنى,23.63,district,high,-30.3,55.77,2023.0
الدمام,الفيحاء,قطعة أرض-سكنى,32.78,district,high,131.43,85.54,2025.0
الدمام,الفيصلية,قطعة أرض-تجارى,-15.15,district,high,2.46,25.39,2023.0
الدمام,الفيصلية,قطعة أرض-سكنى,6.56,district,high,-1.52,7.69,2025.0
الدمام,القادسية,قطعة أرض-سكنى,16.59,district,high,39.0,20.11,2025.0
الدمام,القزاز,قطعة أرض-سكنى,7.4,city,medium,,,
الدمام,القصور,قطعة أرض-سكنى,4.72,district,high,0.0,5.02,2025.0
الدمام,القصور بالظهران,قطعة أرض-سكنى,7.4,city,medium,,,
الدمام,القيروان,قطعة أرض-سكنى,7.4,city,medium,,,
الدمام,المحمدية,قطعة أرض-سكنى,7.4,city,medium,,,
الدمام,المريكبات,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,المريكبات,قطعة أرض-سكنى,35.48,district,high,83.26,67.57,2025.0
الدمام,المزروعية,قطعة أرض-سكنى,-8.14,district,high,4.48,27.79,2022.0
الدمام,المنار,قطعة أرض-تجارى,58.86,district,high,48.39,107.29,2022.0
الدمام,المنار,قطعة أرض-سكنى,-1.11,district,high,0.06,2.28,2026.0
الدمام,المنتزة,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,المنتزة,قطعة أرض-سكنى,45.24,district,high,113.79,59.41,2025.0
الدمام,المنتزه,قطعة أرض-سكنى,21.51,district,high,51.15,25.95,2025.0
الدمام,الميناء,قطعة أرض-تجارى,-29.43,district,high,-29.43,0.0,2025.0
الدمام,الناصرية,قطعة أرض-سكنى,7.4,city,medium,,,
الدمام,النخيل,قطعة أرض-سكنى,-13.63,district,high,27.81,41.77,2025.0
الدمام,الندى,قطعة أرض-تجارى,44.11,district,high,135.66,79.67,2019.0
الدمام,الندى,قطعة أرض-سكنى,59.74,district,high,68.4,97.49,2026.0
الدمام,النزهة,قطعة أرض-سكنى,-3.47,district,high,4.64,8.66,2022.0
الدمام,النهضة,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,النهضة,قطعة أرض-سكنى,-1.14,district,high,27.78,37.64,2022.0
الدمام,النور,قطعة أرض-تجارى,10.92,district,high,-2.62,12.8,2023.0
الدمام,النور,قطعة أرض-سكنى,8.72,district,high,15.32,6.27,2026.0
الدمام,النورس,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,النورس,قطعة أرض-سكنى,7.4,city,medium,,,
الدمام,الواحة,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,الواحة,قطعة أرض-سكنى,50.38,district,high,50.38,0.0,2023.0
الدمام,بدر,قطعة أرض-سكنى,3.4,district,high,-16.22,20.36,2026.0
الدمام,ش د  1305,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,ش د  1305,قطعة أرض-سكنى,7.19,district,high,7.19,0.0,2020.0
الدمام,ش د 1088,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,ش د 1088,قطعة أرض-سكنى,7.4,city,medium,,,
الدمام,ش د 1117,قطعة أرض-تجارى,29.83,district,high,6.65,20.08,2023.0
الدمام,ش د 1117,قطعة أرض-سكنى,24.03,district,high,51.03,49.25,2022.0
الدمام,ش د 1531,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,ش د 1531,قطعة أرض-سكنى,7.4,city,medium,,,
الدمام,ش د1496,قطعة أرض-سكنى,7.4,city,medium,,,
الدمام,ش.د 1015,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,ش.د 1015,قطعة أرض-سكنى,73.87,district,high,62.77,80.56,2020.0
الدمام,ش.د 1080,قطعة أرض-سكنى,7.4,city,medium,,,
الدمام,شاطئ نصف القمر,قطعة أرض-سكنى,45.6,district,high,-30.01,106.94,2022.0
الدمام,ضاحية الملك فهد,قطعة أرض-تجارى,15.55,district,high,2.55,11.85,2023.0
الدمام,ضاحية الملك فهد,قطعة أرض-سكنى,15.47,district,high,-1.96,16.01,2023.0
الدمام,طيبة,قطعة أرض-تجارى,6.53,district,high,-40.06,47.56,2025.0
الدمام,طيبة,قطعة أرض-سكنى,-4.96,district,high,-13.45,32.46,2026.0
الدمام,عبدالله فؤاد,قطعة أرض-سكنى,-11.53,district,high,-11.53,0.0,2022.0
الدمام,غرب الدمام,قطعة أرض-تجارى,31.22,district,high,38.55,10.38,2021.0
الدمام,غرب الدمام,قطعة أرض-سكنى,25.04,district,high,22.79,26.23,2025.0
الدمام,غرب الفيصلية,قطعة أرض-سكنى,33.71,district,high,33.71,0.0,2022.0
الدمام,غرناطة,قطعة أرض-سكنى,8.98,district,high,19.97,21.31,2026.0
الدمام,محمد بن سعود,قطعة أرض-سكنى,7.4,city,medium,,,
الدمام,مدينة العمال,قطعة أرض-سكنى,9.48,district,high,22.35,19.04,2025.0
الدمام,هجر,قطعة أرض-سكنى,19.02,district,high,29.41,9.78,2025.0
الظهران,أخرى,قطعة أرض-سكنى,82.82,city,medium,,,
الظهران,الدوحة الجنوبية,قطعة أرض-سكنى,-4.23,district,high,-4.23,0.0,2026.0
الظهران,الظهران,قطعة أرض-سكنى,82.82,city,medium,,,
الظهران,الظهران/ الدوحة الجنوبية,قطعة أرض-سكنى,-4.23,district,high,-4.23,0.0,2026.0
الظهران,الظهران/ الظهران,قطعة أرض-تجارى,1.48,city,medium,,,
الظهران,الظهران/ الظهران,قطعة أرض-سكنى,82.82,city,medium,,,
الظهران,الظهران/ الوسام,قطعة أرض-تجارى,1.48,city,medium,,,
الظهران,الظهران/ صناعية الظهران,قطعة أرض-تجارى,0.97,district,high,2.27,2.78,2026.0
الظهران,الظهران/ صناعية الظهران,قطعة أرض-سكنى,21.92,district,high,-4.49,37.35,2026.0
الظهران,شمال الظهران,قطعة أرض-سكنى,82.82,city,medium,,,
الظهران,صناعية الظهران,قطعة أرض-سكنى,82.82,city,medium,,,
